ISO,FILENAME,MEAN_VALUE
MWI,t3,0.0
MWI,t2,0.0
MWI,a3,0.0
MWI,cr2,5.0
MWI,cr4,11.0
MWI,p2,100.0
MWI,a1,100.0
MWI,t6,0.0
MWI,h2,100.0
MWI,cv5b,12.0
MWI,a2,0.0
MWI,h1,100.0
MWI,t4,0.0
MWI,h5,100.0
MWI,cr1,5.0
MWI,h6,
MWI,h4,100.0
MWI,t1,100.0
SLV,h3,100.0
SLV,t5,0.0
SLV,t3,0.0
SLV,t2,0.0
SLV,a3,0.0
SLV,cr2,10.0
SLV,cr4,22.0
SLV,p2,100.0
SLV,a1,100.0
SLV,t6,0.0
SLV,h2,100.0
SLV,cv5b,12.0
SLV,a2,0.0
SLV,h1,100.0
SLV,t4,0.0
SLV,h5,100.0
SLV,cr1,5.0
SLV,h6,
SLV,h4,100.0
SLV,t1,100.0
PAK,h3,100.0
PAK,t5,0.0
PAK,t3,0.0
PAK,t2,0.0
PAK,a3,0.0
PAK,cr2,33.0
PAK,cr4,33.0
PAK,p2,100.0
PAK,a1,100.0
PAK,t6,0.0
PAK,h2,100.0
PAK,cv5b,12.0
PAK,a2,0.0
PAK,h1,100.0
PAK,t4,0.0
PAK,h5,100.0
PAK,cr1,5.0
PAK,h6,
PAK,h4,100.0
PAK,t1,100.0
KGZ,h3,100.0
KGZ,t5,0.0
KGZ,t3,0.0
KGZ,t2,0.0
KGZ,a3,0.0
KGZ,cr2,33.0
KGZ,cr4,33.0
KGZ,p2,100.0
KGZ,a1,100.0
KGZ,t6,0.0
KGZ,h2,100.0
KGZ,cv5b,12.0
KGZ,a2,0.0
KGZ,h1,100.0
KGZ,t4,0.0
KGZ,h5,100.0
KGZ,cr1,5.0
KGZ,h6,
KGZ,h4,100.0
KGZ,t1,100.0
NIC,h3,100.0
NIC,t5,0.0
NIC,t3,0.0
NIC,t2,0.0
NIC,a3,0.0
NIC,cr2,10.0
NIC,cr4,22.0
NIC,p2,100.0
NIC,a1,100.0
NIC,t6,0.0
NIC,h2,100.0
NIC,cv5b,12.0
NIC,a2,0.0
NIC,h1,100.0
NIC,t4,0.0
NIC,h5,100.0
NIC,cr1,5.0
NIC,h6,
NIC,h4,100.0
NIC,t1,100.0
PER,h3,100.0
PER,t5,0.0
PER,t3,0.0
PER,t2,0.0
PER,a3,0.0
PER,cr2,10.0
PER,cr4,22.0
PER,p2,100.0
PER,a1,100.0
PER,t6,0.0
PER,h2,100.0
PER,cv5b,12.0
PER,a2,0.0
PER,h1,100.0
PER,t4,0.0
PER,h5,100.0
PER,cr1,5.0
PER,h6,
PER,h4,100.0
PER,t1,100.0
MAR,h3,100.0
MAR,t5,0.0
MAR,t3,0.0
MAR,t2,0.0
MAR,a3,0.0
MAR,cr2,10.0
MAR,cr4,22.0
MAR,p2,100.0
MAR,a1,100.0
MAR,t6,0.0
MAR,h2,100.0
MAR,cv5b,12.0
MAR,a2,0.0
MAR,h1,100.0
MAR,t4,0.0
MAR,h5,100.0
MAR,cr1,5.0
MAR,h6,
MAR,h4,100.0
MAR,t1,100.0
UKR,h3,100.0
UKR,t5,0.0
UKR,t3,0.0
UKR,t2,0.0
UKR,a3,0.0
UKR,cr2,36.0
UKR,cr4,36.0
UKR,p2,100.0
UKR,a1,100.0
UKR,t6,0.0
UKR,h2,100.0
UKR,cv5b,12.0
UKR,a2,0.0
UKR,h1,100.0
UKR,t4,0.0
UKR,h5,100.0
UKR,cr1,5.0
UKR,h6,
UKR,h4,100.0
UKR,t1,100.0
TZA,h3,100.0
TZA,t5,0.0
TZA,t3,0.0
TZA,t2,0.0
TZA,a3,0.0
TZA,cr2,5.0
TZA,cr4,11.0
TZA,p2,100.0
TZA,a1,100.0
TZA,t6,0.0
TZA,h2,100.0
TZA,cv5b,12.0
TZA,a2,0.0
TZA,h1,100.0
TZA,t4,0.0
TZA,h5,100.0
TZA,cr1,5.0
TZA,h6,
TZA,h4,100.0
TZA,t1,100.0
NAM,h3,100.0
NAM,t5,0.0
NAM,t3,0.0
NAM,t2,0.0
NAM,a3,0.0
NAM,cr2,5.0
NAM,cr4,11.0
NAM,p2,100.0
NAM,a1,100.0
NAM,t6,0.0
NAM,h2,100.0
NAM,cv5b,12.0
NAM,a2,0.0
NAM,h1,100.0
NAM,t4,0.0
NAM,h5,100.0
NAM,cr1,5.0
NAM,h6,
NAM,h4,100.0
NAM,t1,100.0
YEM,h3,100.0
YEM,t5,0.0
YEM,t3,0.0
YEM,t2,0.0
YEM,a3,0.0
YEM,cr2,10.0
YEM,cr4,22.0
YEM,p2,100.0
YEM,a1,100.0
YEM,t6,0.0
YEM,h2,100.0
YEM,cv5b,12.0
YEM,a2,0.0
YEM,h1,100.0
YEM,t4,0.0
YEM,h5,100.0
YEM,cr1,5.0
YEM,h6,
YEM,h4,100.0
YEM,t1,100.0
TON,h3,100.0
TON,t5,0.0
TON,t3,0.0
TON,t2,0.0
TON,a3,0.0
TON,cr2,5.0
TON,cr4,11.0
TON,p2,100.0
TON,a1,100.0
TON,t6,0.0
TON,h2,100.0
TON,cv5b,12.0
TON,a2,0.0
TON,h1,100.0
TON,t4,0.0
TON,h5,100.0
TON,cr1,5.0
TON,h6,
TON,h4,100.0
TON,t1,100.0
BLZ,h3,100.0
BLZ,t5,0.0
BLZ,t3,0.0
BLZ,t2,0.0
BLZ,a3,0.0
BLZ,cr2,10.0
BLZ,cr4,22.0
BLZ,p2,100.0
BLZ,a1,100.0
BLZ,t6,0.0
BLZ,h2,100.0
BLZ,cv5b,12.0
BLZ,a2,0.0
BLZ,h1,100.0
BLZ,t4,0.0
BLZ,h5,100.0
BLZ,cr1,5.0
BLZ,h6,
BLZ,h4,100.0
BLZ,t1,100.0
TTO,h3,100.0
TTO,t5,0.0
TTO,t3,0.0
TTO,t2,0.0
TTO,a3,0.0
TTO,cr2,10.0
TTO,cr4,22.0
TTO,p2,100.0
TTO,a1,100.0
TTO,t6,0.0
TTO,h2,100.0
TTO,cv5b,12.0
TTO,a2,0.0
TTO,h1,100.0
TTO,t4,0.0
TTO,h5,100.0
TTO,cr1,5.0
TTO,h6,
TTO,h4,100.0
TTO,t1,100.0
OMN,h3,100.0
OMN,t5,0.0
OMN,t3,0.0
OMN,t2,0.0
OMN,a3,0.0
OMN,cr2,10.0
OMN,cr4,22.0
OMN,p2,100.0
OMN,a1,100.0
OMN,t6,0.0
OMN,h2,100.0
OMN,cv5b,12.0
OMN,a2,0.0
OMN,h1,100.0
OMN,t4,0.0
OMN,h5,100.0
OMN,cr1,5.0
OMN,h6,
OMN,h4,100.0
OMN,t1,100.0
IRQ,h3,100.0
IRQ,t5,0.0
IRQ,t3,0.0
IRQ,t2,0.0
IRQ,a3,0.0
IRQ,cr2,10.0
IRQ,cr4,22.0
IRQ,p2,100.0
IRQ,a1,100.0
IRQ,t6,0.0
IRQ,h2,100.0
IRQ,cv5b,12.0
IRQ,a2,0.0
IRQ,h1,100.0
IRQ,t4,0.0
IRQ,h5,100.0
IRQ,cr1,5.0
IRQ,h6,
IRQ,h4,100.0
IRQ,t1,100.0
ARM,h3,100.0
ARM,t5,0.0
ARM,t3,0.0
ARM,t2,0.0
ARM,a3,0.0
ARM,cr2,33.0
ARM,cr4,33.0
